"species","decimalLatitude","decimalLongitude"
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",-38.3,144.6167
"Mesophyllum erubescens",-38.3,144.6167
"Mesophyllum erubescens",-38.4167,144.1667
"Mesophyllum erubescens",-38.4167,144.1667
"Mesophyllum erubescens",-38.3667,142.25
"Mesophyllum erubescens",-14.6459,145.4534
"Mesophyllum erubescens",-14.6459,145.4534
"Mesophyllum erubescens",21.5576,-157.856
"Mesophyllum erubescens",20.9145,-156.9
"Mesophyllum erubescens",34.68,138.2
